dataset,filename,method,niqe
sots_o,0051_0.95_0.12.png,aodnet,20.282301
sots_o,0052_0.9_0.16.png,original,20.222548
sots_o,0052_0.9_0.16.png,dcp,20.039029
sots_o,0052_0.9_0.16.png,aodnet,20.210018
sots_o,0053_0.9_0.12.png,original,20.549308
sots_o,0053_0.9_0.12.png,dcp,20.473923
sots_o,0053_0.9_0.12.png,aodnet,20.604277
sots_o,0054_0.85_0.16.png,original,20.423760
sots_o,0054_0.85_0.16.png,dcp,20.332700
sots_o,0054_0.85_0.16.png,aodnet,20.463947
sots_o,0055_0.85_0.12.png,original,20.123773
sots_o,0055_0.85_0.12.png,dcp,20.202543
sots_o,0055_0.85_0.12.png,aodnet,20.213125
sots_o,0056_0.8_0.16.png,original,20.545653
sots_o,0056_0.8_0.16.png,dcp,20.535314
sots_o,0056_0.8_0.16.png,aodnet,20.648085
sots_o,0057_0.8_0.12.png,original,19.576079
sots_o,0057_0.8_0.12.png,dcp,19.042246
sots_o,0057_0.8_0.12.png,aodnet,19.376739
sots_o,0058_0.8_0.2.png,original,20.096737
sots_o,0058_0.8_0.2.png,dcp,19.459051
sots_o,0058_0.8_0.2.png,aodnet,20.075235
sots_o,0059_0.9_0.12.png,original,20.554125
sots_o,0059_0.9_0.12.png,dcp,20.010852
sots_o,0059_0.9_0.12.png,aodnet,20.715008
sots_o,0060_0.9_0.2.png,original,20.372373
sots_o,0060_0.9_0.2.png,dcp,20.189001
sots_o,0060_0.9_0.2.png,aodnet,20.561524
sots_o,0061_0.8_0.2.png,original,20.221802
sots_o,0061_0.8_0.2.png,dcp,20.390681
sots_o,0061_0.8_0.2.png,aodnet,20.503313
sots_o,0062_0.9_0.2.png,original,20.405262
sots_o,0062_0.9_0.2.png,dcp,20.248055
sots_o,0062_0.9_0.2.png,aodnet,20.584410
sots_o,0063_0.8_0.16.png,original,21.140770
sots_o,0063_0.8_0.16.png,dcp,21.028607
sots_o,0063_0.8_0.16.png,aodnet,21.332404
sots_o,0064_0.8_0.2.png,original,21.642946
