filename,method,niqe
0220_0.85_0.2.png,original,20.434031
0220_0.85_0.2.png,dcp,20.292694
0220_0.85_0.2.png,aodnet,20.595767
0222_0.85_0.16.png,original,20.592730
0222_0.85_0.16.png,dcp,20.569885
0222_0.85_0.16.png,aodnet,20.849559
0223_0.95_0.16.png,original,20.698062
0223_0.95_0.16.png,dcp,20.478516
0223_0.95_0.16.png,aodnet,20.640345
0225_0.8_0.2.png,original,20.365095
0225_0.8_0.2.png,dcp,20.382482
0225_0.8_0.2.png,aodnet,20.480148
0226_0.8_0.2.png,original,20.895905
0226_0.8_0.2.png,dcp,20.271160
0226_0.8_0.2.png,aodnet,20.711242
0228_1_0.2.png,original,20.479395
0228_1_0.2.png,dcp,20.628039
0228_1_0.2.png,aodnet,20.449844
0230_0.9_0.16.png,original,20.673418
0230_0.9_0.16.png,dcp,20.464287
0230_0.9_0.16.png,aodnet,20.779645
0233_0.8_0.12.png,original,20.722391
0233_0.8_0.12.png,dcp,20.366976
0233_0.8_0.12.png,aodnet,20.689377
0235_0.9_0.08.png,original,20.806203
0235_0.9_0.08.png,dcp,20.797105
0235_0.9_0.08.png,aodnet,21.282730
0237_0.8_0.12.png,original,20.055561
0237_0.8_0.12.png,dcp,19.696914
0237_0.8_0.12.png,aodnet,20.053557
0238_0.8_0.2.png,original,21.006299
0238_0.8_0.2.png,dcp,20.631981
0238_0.8_0.2.png,aodnet,20.908856
0239_0.8_0.2.png,original,20.391254
0239_0.8_0.2.png,dcp,20.477090
0239_0.8_0.2.png,aodnet,20.664404
0240_1_0.08.png,original,19.983507
0240_1_0.08.png,dcp,19.827897
0240_1_0.08.png,aodnet,19.905134
0242_0.8_0.12.png,original,20.261848
0242_0.8_0.12.png,dcp,20.233977
0242_0.8_0.12.png,aodnet,20.512343
0243_0.8_0.08.png,original,20.636932
0243_0.8_0.08.png,dcp,20.344878
0243_0.8_0.08.png,aodnet,20.673335
0244_0.9_0.12.png,original,20.568107
0244_0.9_0.12.png,dcp,19.819677
0244_0.9_0.12.png,aodnet,20.390504
0245_1_0.2.png,original,20.265547
0245_1_0.2.png,dcp,19.623257
0245_1_0.2.png,aodnet,20.206466
0246_0.85_0.12.png,original,20.468348
0246_0.85_0.12.png,dcp,20.289865
0246_0.85_0.12.png,aodnet,20.517491
0248_0.8_0.08.png,original,20.821557
0248_0.8_0.08.png,dcp,20.576734
0248_0.8_0.08.png,aodnet,21.157443
0249_1_0.12.png,original,20.050430
0249_1_0.12.png,dcp,19.490134
0249_1_0.12.png,aodnet,20.025030
0251_0.8_0.16.png,original,20.767988
0251_0.8_0.16.png,dcp,20.260370
0251_0.8_0.16.png,aodnet,20.797349
0253_0.8_0.2.png,original,20.593743
0253_0.8_0.2.png,dcp,20.698925
0253_0.8_0.2.png,aodnet,20.778558
0253_1_0.16.png,original,20.614276
0253_1_0.16.png,dcp,20.676406
0253_1_0.16.png,aodnet,20.723642
0255_0.85_0.08.png,original,20.977323
0255_0.85_0.08.png,dcp,20.410145
0255_0.85_0.08.png,aodnet,21.236798
0256_0.95_0.16.png,original,20.772840
0256_0.95_0.16.png,dcp,20.395652
0256_0.95_0.16.png,aodnet,21.483292
0258_0.8_0.2.png,original,20.933131
0258_0.8_0.2.png,dcp,20.438510
0258_0.8_0.2.png,aodnet,21.165678
0259_0.9_0.08.png,original,20.621322
0259_0.9_0.08.png,dcp,20.464570
0259_0.9_0.08.png,aodnet,20.870386
0260_0.9_0.2.png,original,21.050277
0260_0.9_0.2.png,dcp,20.483180
0260_0.9_0.2.png,aodnet,21.248846
0261_0.85_0.08.png,original,20.635390
0261_0.85_0.08.png,dcp,20.341755
0261_0.85_0.08.png,aodnet,20.825057
0262_0.95_0.12.png,original,21.646576
0262_0.95_0.12.png,dcp,20.553693
0262_0.95_0.12.png,aodnet,21.506343
0263_0.95_0.08.png,original,20.406041
0263_0.95_0.08.png,dcp,20.196072
